county_name,year,month,ndvi_mean,ndvi_anomaly
Turkana,2023,10,0.355,47.9
Turkana,2023,11,0.446,85.8
Turkana,2023,12,0.319,32.9
Turkana,2024,1,0.242,0.8
Turkana,2024,2,0.263,9.6
Turkana,2024,3,0.377,57.1
Turkana,2024,4,0.447,86.3
Turkana,2024,5,0.292,21.7
Turkana,2024,6,0.251,4.6
Turkana,2024,7,0.317,32.1
Turkana,2024,8,0.232,-3.3
Turkana,2024,9,0.304,26.7
Turkana,2024,10,0.353,47.1
Turkana,2024,11,0.305,27.1
Turkana,2024,12,0.315,31.3
Marsabit,2019,1,0.434,66.9
Marsabit,2019,2,0.314,20.8
Marsabit,2019,3,0.337,29.6
Marsabit,2019,4,0.348,33.8
Marsabit,2019,5,0.362,39.2
Marsabit,2019,6,0.338,30.0
Marsabit,2019,7,0.369,41.9
Marsabit,2019,8,0.361,38.8
Marsabit,2019,9,0.267,2.7
Marsabit,2019,10,0.287,10.4
Marsabit,2019,11,0.323,24.2
Marsabit,2019,12,0.425,63.5
Marsabit,2020,1,0.284,9.2
Marsabit,2020,2,0.268,3.1
Marsabit,2020,3,0.223,-14.2
Marsabit,2020,4,0.211,-18.8
Marsabit,2020,5,0.29,11.5
Marsabit,2020,6,0.229,-11.9
Marsabit,2020,7,0.184,-29.2
Marsabit,2020,8,0.243,-6.5
Marsabit,2020,9,0.212,-18.5
Marsabit,2020,10,0.269,3.5
Marsabit,2020,11,0.164,-36.9
Marsabit,2020,12,0.281,8.1
Marsabit,2021,1,0.108,-58.5
Marsabit,2021,2,0.133,-48.8
Marsabit,2021,3,0.113,-56.5
Marsabit,2021,4,0.113,-56.5
Marsabit,2021,5,0.09,-65.4
Marsabit,2021,6,0.131,-49.6
Marsabit,2021,7,0.132,-49.2
Marsabit,2021,8,0.097,-62.7
Marsabit,2021,9,0.132,-49.2
Marsabit,2021,10,0.128,-50.8
Marsabit,2021,11,0.08,-69.2
Marsabit,2021,12,0.101,-61.2
Marsabit,2022,1,0.08,-69.2
Marsabit,2022,2,0.102,-60.8
Marsabit,2022,3,0.081,-68.8
Marsabit,2022,4,0.096,-63.1
Marsabit,2022,5,0.118,-54.6
Marsabit,2022,6,0.119,-54.2
Marsabit,2022,7,0.106,-59.2
Marsabit,2022,8,0.11,-57.7
Marsabit,2022,9,0.119,-54.2
Marsabit,2022,10,0.08,-69.2
Marsabit,2022,11,0.11,-57.7
Marsabit,2022,12,0.13,-50.0
Marsabit,2023,1,0.21,-19.2
Marsabit,2023,2,0.15,-42.3
Marsabit,2023,3,0.155,-40.4
Marsabit,2023,4,0.203,-21.9
Marsabit,2023,5,0.167,-35.8
Marsabit,2023,6,0.157,-39.6
Marsabit,2023,7,0.149,-42.7
Marsabit,2023,8,0.194,-25.4
Marsabit,2023,9,0.221,-15.0
Marsabit,2023,10,0.352,35.4
Marsabit,2023,11,0.499,91.9
Marsabit,2023,12,0.483,85.8
Marsabit,2024,1,0.329,26.5
Marsabit,2024,2,0.29,11.5
Marsabit,2024,3,0.321,23.5
Marsabit,2024,4,0.203,-21.9
Marsabit,2024,5,0.348,33.8
Marsabit,2024,6,0.285,9.6
Marsabit,2024,7,0.314,20.8
Marsabit,2024,8,0.329,26.5
Marsabit,2024,9,0.374,43.8
Marsabit,2024,10,0.392,50.8
Marsabit,2024,11,0.316,21.5
Marsabit,2024,12,0.326,25.4
Mandera,2019,1,0.37,68.2
Mandera,2019,2,0.325,47.7
Mandera,2019,3,0.208,-5.5
Mandera,2019,4,0.259,17.7
Mandera,2019,5,0.241,9.5
Mandera,2019,6,0.329,49.5
Mandera,2019,7,0.29,31.8
Mandera,2019,8,0.293,33.2
Mandera,2019,9,0.355,61.4
Mandera,2019,10,0.29,31.8
Mandera,2019,11,0.24,9.1
Mandera,2019,12,0.326,48.2
Mandera,2020,1,0.248,12.7
Mandera,2020,2,0.241,9.5
Mandera,2020,3,0.189,-14.1
Mandera,2020,4,0.206,-6.4
Mandera,2020,5,0.099,-55.0
Mandera,2020,6,0.171,-22.3
Mandera,2020,7,0.185,-15.9
Mandera,2020,8,0.173,-21.4
Mandera,2020,9,0.22,0.0
Mandera,2020,10,0.262,19.1
Mandera,2020,11,0.149,-32.3
Mandera,2020,12,0.163,-25.9
Mandera,2021,1,0.08,-63.6
Mandera,2021,2,0.08,-63.6
Mandera,2021,3,0.08,-63.6
Mandera,2021,4,0.08,-63.6
Mandera,2021,5,0.08,-63.6
Mandera,2021,6,0.08,-63.6
Mandera,2021,7,0.08,-63.6
Mandera,2021,8,0.08,-63.6
Mandera,2021,9,0.08,-63.6
Mandera,2021,10,0.08,-63.6
Mandera,2021,11,0.08,-63.6
Mandera,2021,12,0.08,-63.6
Mandera,2022,1,0.08,-63.6
Mandera,2022,2,0.081,-63.2
Mandera,2022,3,0.08,-63.6
Mandera,2022,4,0.08,-63.6
Mandera,2022,5,0.08,-63.6
Mandera,2022,6,0.08,-63.6
Mandera,2022,7,0.08,-63.6
Mandera,2022,8,0.08,-63.6
Mandera,2022,9,0.08,-63.6
Mandera,2022,10,0.08,-63.6
Mandera,2022,11,0.08,-63.6
Mandera,2022,12,0.093,-57.7
Mandera,2023,1,0.132,-40.0
Mandera,2023,2,0.128,-41.8
Mandera,2023,3,0.12,-45.5
Mandera,2023,4,0.143,-35.0
Mandera,2023,5,0.126,-42.7
Mandera,2023,6,0.171,-22.3
Mandera,2023,7,0.166,-24.5
Mandera,2023,8,0.135,-38.6
Mandera,2023,9,0.171,-22.3
Mandera,2023,10,0.363,65.0
Mandera,2023,11,0.343,55.9
Mandera,2023,12,0.402,82.7
Mandera,2024,1,0.325,47.7
Mandera,2024,2,0.237,7.7
Mandera,2024,3,0.402,82.7
Mandera,2024,4,0.291,32.3
Mandera,2024,5,0.331,50.5
Mandera,2024,6,0.275,25.0
Mandera,2024,7,0.251,14.1
Mandera,2024,8,0.289,31.4
Mandera,2024,9,0.229,4.1
Mandera,2024,10,0.219,-0.5
Mandera,2024,11,0.33,50.0
Mandera,2024,12,0.301,36.8
Garissa,2019,1,0.332,18.6
Garissa,2019,2,0.401,43.2
Garissa,2019,3,0.315,12.5
Garissa,2019,4,0.275,-1.8
Garissa,2019,5,0.329,17.5
Garissa,2019,6,0.38,35.7
Garissa,2019,7,0.35,25.0
Garissa,2019,8,0.383,36.8
Garissa,2019,9,0.391,39.6
Garissa,2019,10,0.364,30.0
Garissa,2019,11,0.423,51.1
Garissa,2019,12,0.274,-2.1
Garissa,2020,1,0.182,-35.0
Garissa,2020,2,0.321,14.6
Garissa,2020,3,0.225,-19.6
Garissa,2020,4,0.224,-20.0
Garissa,2020,5,0.338,20.7
Garissa,2020,6,0.296,5.7
Garissa,2020,7,0.309,10.4
Garissa,2020,8,0.284,1.4
Garissa,2020,9,0.247,-11.8
Garissa,2020,10,0.347,23.9
Garissa,2020,11,0.291,3.9
Garissa,2020,12,0.24,-14.3
Garissa,2021,1,0.1,-64.3
Garissa,2021,2,0.159,-43.2
Garissa,2021,3,0.13,-53.6
Garissa,2021,4,0.101,-63.9
Garissa,2021,5,0.089,-68.2
Garissa,2021,6,0.096,-65.7
Garissa,2021,7,0.161,-42.5
Garissa,2021,8,0.109,-61.1
Garissa,2021,9,0.137,-51.1
Garissa,2021,10,0.138,-50.7
Garissa,2021,11,0.125,-55.4
Garissa,2021,12,0.122,-56.4
Garissa,2022,1,0.121,-56.8
Garissa,2022,2,0.134,-52.1
Garissa,2022,3,0.147,-47.5
Garissa,2022,4,0.08,-71.4
Garissa,2022,5,0.123,-56.1
Garissa,2022,6,0.096,-65.7
Garissa,2022,7,0.102,-63.6
Garissa,2022,8,0.106,-62.1
Garissa,2022,9,0.144,-48.6
Garissa,2022,10,0.161,-42.5
Garissa,2022,11,0.134,-52.1
Garissa,2022,12,0.123,-56.1
Garissa,2023,1,0.185,-33.9
Garissa,2023,2,0.211,-24.6
Garissa,2023,3,0.222,-20.7
Garissa,2023,4,0.203,-27.5
Garissa,2023,5,0.205,-26.8
Garissa,2023,6,0.201,-28.2
Garissa,2023,7,0.188,-32.9
Garissa,2023,8,0.193,-31.1
Garissa,2023,9,0.117,-58.2
Garissa,2023,10,0.427,52.5
Garissa,2023,11,0.475,69.6
Garissa,2023,12,0.348,24.3
Garissa,2024,1,0.392,40.0
Garissa,2024,2,0.247,-11.8
Garissa,2024,3,0.324,15.7
Garissa,2024,4,0.378,35.0
Garissa,2024,5,0.334,19.3
Garissa,2024,6,0.343,22.5
Garissa,2024,7,0.354,26.4
Garissa,2024,8,0.284,1.4
Garissa,2024,9,0.315,12.5
Garissa,2024,10,0.333,18.9
Garissa,2024,11,0.421,50.4
Garissa,2024,12,0.248,-11.4
Baringo,2019,1,0.523,18.9
Baringo,2019,2,0.619,40.7
Baringo,2019,3,0.517,17.5
Baringo,2019,4,0.573,30.2
Baringo,2019,5,0.555,26.1
Baringo,2019,6,0.541,23.0
Baringo,2019,7,0.556,26.4
Baringo,2019,8,0.595,35.2
Baringo,2019,9,0.486,10.5
Baringo,2019,10,0.309,-29.8
Baringo,2019,11,0.529,20.2
Baringo,2019,12,0.587,33.4
Baringo,2020,1,0.423,-3.9
Baringo,2020,2,0.4,-9.1
Baringo,2020,3,0.386,-12.3
Baringo,2020,4,0.408,-7.3
Baringo,2020,5,0.403,-8.4
Baringo,2020,6,0.416,-5.5
Baringo,2020,7,0.444,0.9
Baringo,2020,8,0.44,0.0
Baringo,2020,9,0.437,-0.7
Baringo,2020,10,0.408,-7.3
Baringo,2020,11,0.395,-10.2
Baringo,2020,12,0.501,13.9
Baringo,2021,1,0.291,-33.9
Baringo,2021,2,0.289,-34.3
Baringo,2021,3,0.27,-38.6
Baringo,2021,4,0.294,-33.2
Baringo,2021,5,0.287,-34.8
Baringo,2021,6,0.265,-39.8
Baringo,2021,7,0.245,-44.3
Baringo,2021,8,0.272,-38.2
Baringo,2021,9,0.292,-33.6
Baringo,2021,10,0.298,-32.3
Baringo,2021,11,0.248,-43.6
Baringo,2021,12,0.285,-35.2
Baringo,2022,1,0.306,-30.5
Baringo,2022,2,0.281,-36.1
Baringo,2022,3,0.288,-34.5
Baringo,2022,4,0.276,-37.3
Baringo,2022,5,0.297,-32.5
Baringo,2022,6,0.262,-40.5
Baringo,2022,7,0.281,-36.1
Baringo,2022,8,0.284,-35.5
Baringo,2022,9,0.295,-33.0
Baringo,2022,10,0.293,-33.4
Baringo,2022,11,0.312,-29.1
Baringo,2022,12,0.288,-34.5
Baringo,2023,1,0.346,-21.4
Baringo,2023,2,0.359,-18.4
Baringo,2023,3,0.327,-25.7
Baringo,2023,4,0.397,-9.8
Baringo,2023,5,0.378,-14.1
Baringo,2023,6,0.37,-15.9
Baringo,2023,7,0.36,-18.2
Baringo,2023,8,0.338,-23.2
Baringo,2023,9,0.35,-20.5
Baringo,2023,10,0.601,36.6
Baringo,2023,11,0.71,61.4
Baringo,2023,12,0.702,59.5
Baringo,2024,1,0.541,23.0
Baringo,2024,2,0.508,15.5
Baringo,2024,3,0.58,31.8
Baringo,2024,4,0.467,6.1
Baringo,2024,5,0.509,15.7
Baringo,2024,6,0.493,12.0
Baringo,2024,7,0.524,19.1
Baringo,2024,8,0.488,10.9
Baringo,2024,9,0.584,32.7
Baringo,2024,10,0.386,-12.3
Baringo,2024,11,0.498,13.2
Baringo,2024,12,0.564,28.2
